year,state,state_po,district_id,candidate,party,candidatevotes,totalvotes,vote_pct,avg_poll_pct,n_polls,poll_candidate_matched,match_score,source
1998,Michigan,MI,MI-10,David E Bonior,DEMOCRAT,108770,207524,52.4132,,,,,MEDSL
1998,Michigan,MI,MI-10,Brian Palmer,REPUBLICAN,94027,207524,45.309,,,,,MEDSL
1998,Michigan,MI,MI-10,R Friend,LIBERTARIAN,3396,207524,1.6364,,,,,MEDSL
1998,Michigan,MI,MI-10,Henry Ogden Clark,NATURAL LAW,1331,207524,0.6414,,,,,MEDSL
1998,Michigan,MI,MI-11,Joe Knollenberg,REPUBLICAN,144264,225804,63.889,,,,,MEDSL
1998,Michigan,MI,MI-11,Travis M Reeds,DEMOCRAT,76107,225804,33.7049,,,,,MEDSL
1998,Michigan,MI,MI-11,Dick Gach,LIBERTARIAN,5433,225804,2.4061,,,,,MEDSL
1998,Michigan,MI,MI-12,Sander M Levin,DEMOCRAT,105824,189428,55.865,,,,,MEDSL
1998,Michigan,MI,MI-12,Leslie A Touma,REPUBLICAN,79619,189428,42.0313,,,,,MEDSL
1998,Michigan,MI,MI-12,Albert J Titran,LIBERTARIAN,2813,189428,1.485,,,,,MEDSL
1998,Michigan,MI,MI-12,Fred D Rosenberg,NATURAL LAW,1172,189428,0.6187,,,,,MEDSL
1998,Michigan,MI,MI-13,Lynn N Rivers,DEMOCRAT,99935,171887,58.1399,,,,,MEDSL
1998,Michigan,MI,MI-13,Tom Hickey,REPUBLICAN,68328,171887,39.7517,,,,,MEDSL
1998,Michigan,MI,MI-13,Dean A Huytra,LIBERTARIAN,2873,171887,1.6714,,,,,MEDSL
1998,Michigan,MI,MI-13,Samir Roger Makarem,NATURAL LAW,751,171887,0.4369,,,,,MEDSL
1998,Michigan,MI,MI-14,John Conyers Jr,DEMOCRAT,126321,145305,86.9351,,,,,MEDSL
1998,Michigan,MI,MI-14,Vendella M Collins,REPUBLICAN,16140,145305,11.1077,,,,,MEDSL
1998,Michigan,MI,MI-14,Michael Freyman,LIBERTARIAN,1764,145305,1.214,,,,,MEDSL
1998,Michigan,MI,MI-14,Richard R Miller,NATURAL LAW,1080,145305,0.7433,,,,,MEDSL
1998,Michigan,MI,MI-15,Carolyn C Kilpatrick,DEMOCRAT,108582,124860,86.963,,,,,MEDSL
1998,Michigan,MI,MI-15,Crysanthea D Boyd-Fields,REPUBLICAN,12887,124860,10.3212,,,,,MEDSL
1998,Michigan,MI,MI-15,Linda S Willey,LIBERTARIAN,1485,124860,1.1893,,,,,MEDSL
1998,Michigan,MI,MI-15,Gregory F Smith,NATURAL LAW,1098,124860,0.8794,,,,,MEDSL
1998,Michigan,MI,MI-15,Holly Harkness,NO PARTY AFFILIATION,808,124860,0.6471,,,,,MEDSL
1998,Michigan,MI,MI-16,John D Dingell,DEMOCRAT,116145,174357,66.6133,,,,,MEDSL
1998,Michigan,MI,MI-16,William Morse,REPUBLICAN,54121,174357,31.0403,,,,,MEDSL
1998,Michigan,MI,MI-16,Edward A Hlavac,LIBERTARIAN,3064,174357,1.7573,,,,,MEDSL
1998,Michigan,MI,MI-16,Noha F Hamze,NATURAL LAW,1027,174357,0.589,,,,,MEDSL
1998,Minnesota,MN,MN-01,Gil Gutknecht,REPUBLICAN,131233,239903,54.7025,,,,,MEDSL
1998,Minnesota,MN,MN-01,Tracy L Beckman,DEMOCRATIC-FARMER-LABOR,108420,239903,45.1933,,,,,MEDSL
1998,Minnesota,MN,MN-02,David Minge,DEMOCRATIC-FARMER-LABOR,148933,261127,57.0347,,,,,MEDSL
