Return to Table of Contents.,,"* Please click on the ""plus"" sign to the left of the years to expand to see monthly data or the ""minus"" sign to hide it.",,,,,,,,,,,,,,
Nationwide CBP Encounters by Encounter Type and Region: Fiscal Years 2014 to 2025 YTD (November 2024),,,,,,,,,,,,,,,,
,,Total CBP,,,,,Enforcement Encounters1,,,,,Administrative Encounters2,,,,
Fiscal Year,Month,Total,SW Land Border,Northern Land Border,Coastal Border,Air Ports of Entry/ Interior,Total,SW Land Border,Northern Land Border,Coastal Border,Air Ports of Entry/ Interior,Total,SW Land Border,Northern Land Border,Coastal Border,Air Ports of Entry/ Interior
,August,65700,50010,2450,9760,3490,53380,49640,960,150,2640,12310,370,1490,9610,850
,September,73870,57680,1880,10300,4010,61530,57300,1200,120,2910,12340,390,680,10180,1100
2021,Total,1956520,1734680,27180,141690,52960,1783740,1726950,12620,2460,41720,172770,7740,14560,139230,11250
,October,90580,71930,2660,11540,4460,76180,71530,1200,130,3310,14410,390,1460,11410,1150
,November,89070,72110,1660,11330,3970,75600,71730,810,160,2900,13470,380,850,11180,1070
,December,92750,73990,2210,12630,3910,77490,73600,990,140,2770,15250,390,1220,12500,1140
,January,95280,78410,1000,11350,4510,82040,77850,710,200,3290,13230,570,290,11150,1220
,February,115560,101100,1580,9140,3740,104080,100410,490,150,3040,11480,690,1090,8990,700
,March,192030,173280,1990,12450,4310,177210,172640,740,140,3690,14820,640,1250,12320,610
,April,196190,178800,1250,12000,4150,182530,178110,680,160,3580,13660,680,580,11840,570
,May,198460,180600,1450,12080,4330,184720,179900,830,290,3700,13740,690,620,11790,630
,June,207820,189030,1880,12480,4430,193350,188290,1090,190,3790,14470,750,790,12290,640
,July,233920,213590,3360,12240,4730,218440,212720,1460,170,4090,15480,870,1900,12070,640
,August,231240,209840,4460,11620,5330,215000,208980,1910,270,3830,16250,860,2550,11350,1500
,September,213620,192000,3700,12830,5100,197110,191180,1730,480,3720,16520,820,1970,12350,1370
2022,Total,2766580,2378940,109540,163760,114350,2436100,2341500,44490,7070,43050,330480,37450,65050,156690,71300
,October,187140,164840,3730,13930,4640,169970,163960,1620,510,3880,17170,880,2110,13420,760
,November,198550,174850,5400,14350,3960,179500,173640,2160,440,3270,19060,1210,3240,13910,690
,December,205690,179250,7400,15390,3650,184280,178030,2680,520,3050,21410,1220,4720,14870,600
,January,186810,154870,7400,20680,3860,159820,153660,2310,630,3220,26990,1210,5090,20050,640
,February,190580,166010,6190,14390,3990,171150,164850,2590,310,3400,19430,1160,3600,14080,580
,March,250400,222570,7820,15120,4890,226710,218590,3220,700,4210,23690,3990,4600,14420,690
,April,262110,235790,9160,12430,4740,222770,214530,3780,420,4050,39340,21260,5380,12020,680
,May,274990,241140,9910,12950,10990,248680,239770,4160,650,4110,26310,1370,5750,12300,6890
