state_abbreviation,state_name,reporting_period,total_medicaid_and_chip_enrollment,total_medicaid_enrollment,total_chip_enrollment,medicaid_and_chip_child_enrollment,total_adult_medicaid_enrollment,preliminary_or_updated,period_formatted
AK,Alaska,202501,244438,229677,14761,96982,147456,P,2025-01
AK,Alaska,202501,246432,231448,14984,97560,148872,U,2025-01
AK,Alaska,202502,240405,225782,14623,95669,144736,P,2025-02
AK,Alaska,202502,243847,229186,14661,96644,147203,U,2025-02
AK,Alaska,202503,235835,221504,14331,93999,141836,P,2025-03
AK,Alaska,202503,243077,228508,14569,96384,146693,U,2025-03
AK,Alaska,202504,231077,217291,13786,91888,139189,P,2025-04
AK,Alaska,202504,238271,224131,14140,94885,143386,U,2025-04
AK,Alaska,202505,223020,209810,13210,88616,134404,P,2025-05
AK,Alaska,202505,225031,211333,13698,86706,138325,U,2025-05
AK,Alaska,202506,224980,211659,13321,90017,134963,P,2025-06
AK,Alaska,202506,224980,211659,13321,90017,134963,U,2025-06
AK,Alaska,202507,208266,195887,12379,82662,125604,P,2025-07
AK,Alaska,202507,220373,207221,13152,88348,132025,U,2025-07
AK,Alaska,202508,205737,193413,12324,81557,124180,P,2025-08
AK,Alaska,202508,218824,205768,13056,87906,130918,U,2025-08
AK,Alaska,202509,214400,201512,12888,86376,128024,P,2025-09
AK,Alaska,202509,215641,202632,13009,86718,128923,U,2025-09
AK,Alaska,202510,211854,199110,12744,85271,126583,P,2025-10
AK,Alaska,202510,214818,201848,12970,86524,128294,U,2025-10
AK,Alaska,202511,207807,195239,12568,83609,124198,P,2025-11
AK,Alaska,202511,212388,199460,12928,85710,126678,U,2025-11
AK,Alaska,202512,210475,197629,12846,85106,125369,P,2025-12
AK,Alaska,202512,212089,199113,12976,85599,126490,U,2025-12
AK,Alaska,202601,210172,197303,12869,84968,125204,P,2026-01
AL,Alabama,202501,945069,762844,182225,674158,270911,P,2025-01
AL,Alabama,202501,956651,771806,184845,680890,275761,U,2025-01
AL,Alabama,202502,946644,762737,183907,675396,271248,P,2025-02
AL,Alabama,202502,955498,769769,185729,680622,274876,U,2025-02
AL,Alabama,202503,944327,760145,184182,674180,270147,P,2025-03
AL,Alabama,202503,953505,767428,186077,679521,273984,U,2025-03
AL,Alabama,202504,953178,768446,184732,679470,273708,P,2025-04
AL,Alabama,202504,961550,775147,186403,684013,277537,U,2025-04
AL,Alabama,202505,938679,754311,184368,669652,269027,P,2025-05
AL,Alabama,202505,947601,761378,186223,674850,272751,U,2025-05
AL,Alabama,202506,937844,752608,185236,669444,268400,P,2025-06
AL,Alabama,202506,946316,759359,186957,674469,271847,U,2025-06
AL,Alabama,202507,936239,750162,186077,668511,267728,P,2025-07
AL,Alabama,202507,948369,760049,188320,675764,272605,U,2025-07
AL,Alabama,202508,938822,750998,187824,670822,268000,P,2025-08
AL,Alabama,202508,947380,758080,189300,675575,271805,U,2025-08
AL,Alabama,202509,937597,748438,189159,670669,266928,P,2025-09
AL,Alabama,202509,947718,756883,190835,676222,271496,U,2025-09
AL,Alabama,202510,940264,749334,190930,672491,267773,P,2025-10
AL,Alabama,202510,947046,754925,192121,676185,270861,U,2025-10
AL,Alabama,202511,938982,747254,191728,671829,267153,P,2025-11
AL,Alabama,202511,945436,752535,192901,675260,270176,U,2025-11
AL,Alabama,202512,939065,745861,193204,671861,267204,P,2025-12
AL,Alabama,202512,945191,750744,194447,675229,269962,U,2025-12
AL,Alabama,202601,935658,741054,194604,670277,265381,P,2026-01
AR,Arkansas,202501,816385,734461,81924,403970,412415,P,2025-01
AR,Arkansas,202501,825477,742682,82795,407896,417581,U,2025-01
AR,Arkansas,202502,822228,739524,82704,406759,415469,P,2025-02
AR,Arkansas,202502,824245,741361,82884,408744,415501,U,2025-02
AR,Arkansas,202503,824245,741361,82884,408744,415501,P,2025-03
AR,Arkansas,202503,828054,744815,83239,410657,417397,U,2025-03
AR,Arkansas,202504,820916,741402,79514,409048,411868,P,2025-04
AR,Arkansas,202504,825857,746164,79693,411210,414647,U,2025-04
AR,Arkansas,202505,816798,737110,79688,409592,407206,P,2025-05
AR,Arkansas,202505,821900,741988,79912,411926,409974,U,2025-05
AR,Arkansas,202506,816018,736068,79950,410482,405536,P,2025-06
AR,Arkansas,202506,821198,741050,80148,412907,408291,U,2025-06
AR,Arkansas,202507,814615,734196,80419,411854,402761,P,2025-07
AR,Arkansas,202507,818956,738379,80577,413947,405009,U,2025-07
AR,Arkansas,202508,810357,729355,81002,413084,397273,P,2025-08
AR,Arkansas,202508,815146,733824,81322,415287,399859,U,2025-08
AR,Arkansas,202509,808278,726938,81340,413296,394982,P,2025-09
AR,Arkansas,202509,814767,732961,81806,416469,398298,U,2025-09
AR,Arkansas,202510,808325,726141,82184,415014,393311,P,2025-10
AR,Arkansas,202510,811928,729524,82404,416668,395260,U,2025-10
AR,Arkansas,202511,801189,718520,82669,414021,387168,P,2025-11
AR,Arkansas,202511,806626,723536,83090,416446,390180,U,2025-11
AR,Arkansas,202512,801024,717527,83497,414424,386600,P,2025-12
AR,Arkansas,202512,807724,723941,83783,417056,390668,U,2025-12
AR,Arkansas,202601,801620,717460,84160,398948,402672,P,2026-01
AZ,Arizona,202501,1872834,1754999,117835,806168,1066666,P,2025-01
AZ,Arizona,202501,1872834,1754999,117835,806168,1066666,U,2025-01
AZ,Arizona,202502,1859290,1741232,118058,800905,1058385,P,2025-02
AZ,Arizona,202502,1859290,1741232,118058,800905,1058385,U,2025-02
AZ,Arizona,202503,1849039,1731858,117181,796057,1052982,P,2025-03
AZ,Arizona,202503,1849039,1731858,117181,796057,1052982,U,2025-03
AZ,Arizona,202504,1830028,1713183,116845,792152,1037876,P,2025-04
AZ,Arizona,202504,1830028,1713183,116845,792152,1037876,U,2025-04
AZ,Arizona,202505,1818912,1702775,116137,787506,1031406,P,2025-05
AZ,Arizona,202505,1818912,1702775,116137,787506,1031406,U,2025-05
AZ,Arizona,202506,1793424,1678419,115005,776639,1016785,P,2025-06
AZ,Arizona,202506,1793424,1678419,115005,776639,1016785,U,2025-06
AZ,Arizona,202507,1788695,1674282,114413,776202,1012493,P,2025-07
AZ,Arizona,202507,1788695,1674282,114413,776202,1012493,U,2025-07
AZ,Arizona,202508,1761638,1646143,115495,767389,994249,P,2025-08
AZ,Arizona,202508,1761638,1646143,115495,767389,994249,U,2025-08
AZ,Arizona,202509,1744625,1628913,115712,760947,983678,P,2025-09
AZ,Arizona,202509,1744625,1628913,115712,760947,983678,U,2025-09
AZ,Arizona,202510,1720153,1605769,114384,751998,968155,P,2025-10
AZ,Arizona,202510,1720153,1605769,114384,751998,968155,U,2025-10
AZ,Arizona,202511,1693731,1579905,113826,741576,952155,P,2025-11
AZ,Arizona,202511,1693731,1579905,113826,741576,952155,U,2025-11
AZ,Arizona,202512,1678092,1565458,112634,734622,943470,P,2025-12
AZ,Arizona,202512,1678092,1565458,112634,734622,943470,U,2025-12
AZ,Arizona,202601,1662690,1550145,112545,728611,934079,P,2026-01
CA,California,202501,13382585,12152033,1230552,4976780,8405805,P,2025-01
CA,California,202501,13507653,12268267,1239386,5021152,8486501,U,2025-01
CA,California,202502,13362845,12136865,1225980,4962639,8400206,P,2025-02
CA,California,202502,13498666,12262804,1235862,5010702,8487964,U,2025-02
CA,California,202503,13392566,12164108,1228458,4969848,8422718,P,2025-03
CA,California,202503,13476132,12241886,1234246,4998839,8477293,U,2025-03
CA,California,202504,13334947,12111973,1222974,4943305,8391642,P,2025-04
CA,California,202504,13429081,12199798,1229283,4976086,8452995,U,2025-04
CA,California,202505,13305471,12086295,1219176,4929202,8376269,P,2025-05
CA,California,202505,13409214,12183309,1225905,4965106,8444108,U,2025-05
CA,California,202506,13310060,12088385,1221675,4922603,8387457,P,2025-06
CA,California,202506,13382455,12156059,1226396,4947634,8434821,U,2025-06
CA,California,202507,13297637,12075354,1222283,4911147,8386490,P,2025-07
CA,California,202507,13394082,12165425,1228657,4945975,8448107,U,2025-07
CA,California,202508,13226087,11999597,1226490,4897448,8328639,P,2025-08
CA,California,202508,13292415,12061800,1230615,4920461,8371954,U,2025-08
CA,California,202509,13127822,11896822,1231000,4863003,8264819,P,2025-09
CA,California,202509,13214259,11978256,1236003,4892268,8321991,U,2025-09
CA,California,202510,13065328,11826775,1238553,4835377,8229951,P,2025-10
CA,California,202510,13189926,11944258,1245668,4875302,8314624,U,2025-10
CA,California,202511,12707174,11487459,1219715,4625685,8081489,P,2025-11
CA,California,202511,12778416,11554412,1224004,4646928,8131488,U,2025-11
CA,California,202512,12649707,11420961,1228746,4603626,8046081,P,2025-12
CA,California,202512,12731627,11498458,1233169,4628424,8103203,U,2025-12
CA,California,202601,12555434,11317458,1237976,4582795,7972639,P,2026-01
CO,Colorado,202501,1208864,1070533,138331,527528,681336,P,2025-01
CO,Colorado,202501,1208864,1070533,138331,527528,681336,U,2025-01
CO,Colorado,202502,1190587,1053521,137066,519049,671538,P,2025-02
CO,Colorado,202502,1201137,1064925,136212,523012,678125,U,2025-02
CO,Colorado,202503,1191549,1055023,136526,519089,672460,P,2025-03
CO,Colorado,202503,1203155,1067615,135540,523572,679583,U,2025-03
CO,Colorado,202504,1196520,1065939,130581,520668,675852,P,2025-04
CO,Colorado,202504,1204829,1074866,129963,523720,681109,U,2025-04
CO,Colorado,202505,1191958,1065822,126136,519327,672631,P,2025-05
CO,Colorado,202505,1200945,1074751,126194,522353,678592,U,2025-05
CO,Colorado,202506,1193176,1068627,124549,520489,672687,P,2025-06
CO,Colorado,202506,1202014,1076432,125582,523232,678782,U,2025-06
CO,Colorado,202507,1194665,1070714,123951,520595,674070,P,2025-07
CO,Colorado,202507,1205045,1080236,124809,525033,680012,U,2025-07
CO,Colorado,202508,1196877,1073465,123412,522879,673998,P,2025-08
CO,Colorado,202508,1228359,1082131,146228,544866,683493,U,2025-08
CO,Colorado,202509,1197220,1057804,139416,524619,672601,P,2025-09
CO,Colorado,202509,1197220,1057804,139416,524619,672601,U,2025-09
CO,Colorado,202510,1191047,1051871,139176,522907,668140,P,2025-10
CO,Colorado,202510,1192039,1053380,138659,521948,670091,U,2025-10
CO,Colorado,202511,1173577,1035929,137648,516819,656758,P,2025-11
CO,Colorado,202511,1186276,1046707,139569,524467,661809,U,2025-11
CO,Colorado,202512,1184326,1044247,140079,524097,660229,P,2025-12
CO,Colorado,202512,1193308,1052954,140354,526651,666657,U,2025-12
CO,Colorado,202601,1188887,1048404,140483,524667,664220,P,2026-01
CT,Connecticut,202501,928986,904915,24071,370497,558489,P,2025-01
CT,Connecticut,202501,929983,905866,24117,369543,560440,U,2025-01
CT,Connecticut,202502,928254,903917,24337,370269,557985,P,2025-02
CT,Connecticut,202502,929063,904678,24385,369320,559743,U,2025-02
CT,Connecticut,202503,926905,902188,24717,370436,556469,P,2025-03
CT,Connecticut,202503,927823,903080,24743,369456,558367,U,2025-03
CT,Connecticut,202504,918951,893834,25117,368336,550615,P,2025-04
CT,Connecticut,202504,920084,894937,25147,367310,552774,U,2025-04
CT,Connecticut,202505,917261,892022,25239,367847,549414,P,2025-05
CT,Connecticut,202505,918345,893063,25282,366898,551447,U,2025-05
CT,Connecticut,202506,915068,890047,25021,367127,547941,P,2025-06
CT,Connecticut,202506,916189,891132,25057,366124,550065,U,2025-06
CT,Connecticut,202507,914739,889753,24986,367292,547447,P,2025-07
CT,Connecticut,202507,915836,890819,25017,366242,549594,U,2025-07
CT,Connecticut,202508,913826,889042,24784,367199,546627,P,2025-08
CT,Connecticut,202508,915136,890315,24821,366256,548880,U,2025-08
CT,Connecticut,202509,913408,888643,24765,367264,546144,P,2025-09
CT,Connecticut,202509,914518,889736,24782,366153,548365,U,2025-09
CT,Connecticut,202510,911816,887046,24770,366608,545208,P,2025-10
CT,Connecticut,202510,913090,888296,24794,365506,547584,U,2025-10
CT,Connecticut,202511,905929,880916,25013,365339,540590,P,2025-11
CT,Connecticut,202511,907051,882013,25038,364332,542719,U,2025-11
CT,Connecticut,202512,905885,880562,25323,365119,540766,P,2025-12
CT,Connecticut,202512,907009,881656,25353,365326,541683,U,2025-12
CT,Connecticut,202601,905638,880077,25561,365023,540615,P,2026-01
DC,District of Columbia,202501,257333,239963,17370,95997,161336,P,2025-01
DC,District of Columbia,202501,259022,241590,17432,96594,162428,U,2025-01
DC,District of Columbia,202502,258221,240877,17344,95920,162301,P,2025-02
DC,District of Columbia,202502,260125,242721,17404,96545,163580,U,2025-02
DC,District of Columbia,202503,259493,242059,17434,96167,163326,P,2025-03
DC,District of Columbia,202503,261474,243989,17485,96746,164728,U,2025-03
DC,District of Columbia,202504,259116,241663,17453,96064,163052,P,2025-04
DC,District of Columbia,202504,261668,244138,17530,97162,164506,U,2025-04
DC,District of Columbia,202505,258770,241337,17433,96094,162676,P,2025-05
DC,District of Columbia,202505,260734,243211,17523,96850,163884,U,2025-05
DC,District of Columbia,202506,257586,240162,17424,95775,161811,P,2025-06
DC,District of Columbia,202506,260002,242480,17522,96703,163299,U,2025-06
DC,District of Columbia,202507,257763,240384,17379,95635,162128,P,2025-07
DC,District of Columbia,202507,259767,242427,17340,96458,163309,U,2025-07
DC,District of Columbia,202508,256737,239692,17045,95036,161701,P,2025-08
DC,District of Columbia,202508,258668,241742,16926,95802,162866,U,2025-08
DC,District of Columbia,202509,258470,242158,16312,95487,162983,P,2025-09
DC,District of Columbia,202509,258880,242408,16472,95682,163198,U,2025-09
DC,District of Columbia,202510,257703,241418,16285,94918,162785,P,2025-10
DC,District of Columbia,202510,259301,242920,16381,95532,163769,U,2025-10
DC,District of Columbia,202511,256709,240545,16164,94417,162292,P,2025-11
DC,District of Columbia,202511,258617,242274,16343,95233,163384,U,2025-11
DC,District of Columbia,202512,256933,240649,16284,94241,162692,P,2025-12
DC,District of Columbia,202512,258572,242180,16392,94886,163686,U,2025-12
DC,District of Columbia,202601,237274,221109,16165,93257,144017,P,2026-01
DE,Delaware,202501,247850,235074,12776,110002,137848,P,2025-01
DE,Delaware,202501,247850,235074,12776,110002,137848,U,2025-01
DE,Delaware,202502,247850,234793,13057,109994,137856,P,2025-02
DE,Delaware,202502,247850,234793,13057,109994,137856,U,2025-02
DE,Delaware,202503,247380,234184,13196,109611,137769,P,2025-03
DE,Delaware,202503,247380,234184,13196,109611,137769,U,2025-03
DE,Delaware,202504,246306,232967,13339,108795,137511,P,2025-04
DE,Delaware,202504,246306,232967,13339,108795,137511,U,2025-04
DE,Delaware,202505,245472,232080,13392,108660,136812,P,2025-05
DE,Delaware,202505,245472,232080,13392,108660,136812,U,2025-05
DE,Delaware,202506,244962,231565,13397,108326,136636,P,2025-06
DE,Delaware,202506,244962,231565,13397,108326,136636,U,2025-06
DE,Delaware,202507,244501,231021,13480,108170,136331,P,2025-07
DE,Delaware,202507,244501,231021,13480,108170,136331,U,2025-07
DE,Delaware,202508,244057,230525,13532,107955,136102,P,2025-08
DE,Delaware,202508,244057,230525,13532,107955,136102,U,2025-08
DE,Delaware,202509,243805,230166,13639,107967,135838,P,2025-09
DE,Delaware,202509,243805,230166,13639,107967,135838,U,2025-09
DE,Delaware,202510,242745,228908,13837,107720,135025,P,2025-10
DE,Delaware,202510,242745,228908,13837,107720,135025,U,2025-10
DE,Delaware,202511,241168,227234,13934,107084,134084,P,2025-11
DE,Delaware,202511,241168,227234,13934,107084,134084,U,2025-11
DE,Delaware,202512,240456,226467,13989,106707,133749,P,2025-12
DE,Delaware,202512,240456,226467,13989,106707,133749,U,2025-12
DE,Delaware,202601,239213,225267,13946,106101,133112,P,2026-01
FL,Florida,202501,3739787,3572785,167002,2425098,1314689,P,2025-01
FL,Florida,202501,3739787,3572785,167002,2425098,1314689,U,2025-01
FL,Florida,202502,3737528,3570363,167165,2420757,1316771,P,2025-02
FL,Florida,202502,3737528,3570363,167165,2420757,1316771,U,2025-02
FL,Florida,202503,3735641,3569105,166536,2417786,1317855,P,2025-03
FL,Florida,202503,3735641,3569105,166536,2417786,1317855,U,2025-03
FL,Florida,202504,3715495,3547116,168379,2408879,1306616,P,2025-04
FL,Florida,202504,3715495,3547116,168379,2408879,1306616,U,2025-04
FL,Florida,202505,3699610,3532443,167167,2397034,1302576,P,2025-05
FL,Florida,202505,3699610,3532443,167167,2397034,1302576,U,2025-05
FL,Florida,202506,3695066,3529355,165711,2391614,1303452,P,2025-06
FL,Florida,202506,3695066,3529355,165711,2391614,1303452,U,2025-06
FL,Florida,202507,3671259,3506368,164891,2377877,1293382,P,2025-07
FL,Florida,202507,3671259,3506368,164891,2377877,1293382,U,2025-07
FL,Florida,202508,3674391,3509167,165224,2377844,1296547,P,2025-08
FL,Florida,202508,3674391,3509167,165224,2377844,1296547,U,2025-08
FL,Florida,202509,3639607,3476089,163518,2342269,1297338,P,2025-09
FL,Florida,202509,3639607,3476089,163518,2342269,1297338,U,2025-09
FL,Florida,202510,3648091,3485075,163016,2355956,1292135,P,2025-10
FL,Florida,202510,3648091,3485075,163016,2355956,1292135,U,2025-10
FL,Florida,202511,3611012,3447907,163105,2331122,1279890,P,2025-11
FL,Florida,202511,3611012,3447907,163105,2331122,1279890,U,2025-11
FL,Florida,202512,3592110,3431155,160955,2317039,1275071,P,2025-12
FL,Florida,202512,3592110,3431155,160955,2317039,1275071,U,2025-12
FL,Florida,202601,3588652,3425630,163022,2312874,1275778,P,2026-01
GA,Georgia,202501,1921568,1693674,227894,1368355,553213,P,2025-01
GA,Georgia,202501,1953358,1722003,231355,1389466,563892,U,2025-01
GA,Georgia,202502,1915897,1692124,223773,1363747,552150,P,2025-02
GA,Georgia,202502,1948393,1719287,229106,1385786,562607,U,2025-02
GA,Georgia,202503,1911901,1692305,219596,1359680,552221,P,2025-03
GA,Georgia,202503,1943066,1720148,222918,1380081,562985,U,2025-03
GA,Georgia,202504,1903058,1700444,202614,1350831,552227,P,2025-04
GA,Georgia,202504,1934702,1727644,207058,1372054,562648,U,2025-04
GA,Georgia,202505,1897250,1697691,199559,1345845,551405,P,2025-05
GA,Georgia,202505,1927756,1723236,204520,1366715,561041,U,2025-05
GA,Georgia,202506,1895148,1696933,198215,1342884,552264,P,2025-06
GA,Georgia,202506,1921784,1719814,201970,1360738,561046,U,2025-06
GA,Georgia,202507,1893400,1698030,195370,1338353,555047,P,2025-07
GA,Georgia,202507,1919391,1720189,199202,1357783,561608,U,2025-07
GA,Georgia,202508,1875761,1683482,192279,1328542,547219,P,2025-08
GA,Georgia,202508,1904949,1708613,196336,1347840,557109,U,2025-08
GA,Georgia,202509,1877263,1686876,190387,1328567,548696,P,2025-09
GA,Georgia,202509,1906009,1711876,194133,1346558,559451,U,2025-09
GA,Georgia,202510,1872027,1684015,188012,1322796,549231,P,2025-10
GA,Georgia,202510,1895046,1703918,191128,1337670,557376,U,2025-10
GA,Georgia,202511,1861874,1676629,185245,1314554,547320,P,2025-11
GA,Georgia,202511,1888985,1698374,190611,1332431,556554,U,2025-11
GA,Georgia,202512,1855242,1669742,185500,1307613,547629,P,2025-12
GA,Georgia,202512,1882498,1692481,190017,1325119,557379,U,2025-12
GA,Georgia,202601,1851524,1668068,183456,1303671,547853,P,2026-01
HI,Hawaii,202501,404446,381226,23220,154859,249587,P,2025-01
HI,Hawaii,202501,404525,381302,23223,154938,249587,U,2025-01
HI,Hawaii,202502,403358,379898,23460,154805,248553,P,2025-02
HI,Hawaii,202502,403422,379959,23463,154869,248553,U,2025-02
HI,Hawaii,202503,401395,377913,23482,154472,246923,P,2025-03
HI,Hawaii,202503,401480,377995,23485,154557,246923,U,2025-03
HI,Hawaii,202504,399328,375631,23697,154209,245119,P,2025-04
HI,Hawaii,202504,399412,375712,23700,154292,245120,U,2025-04
HI,Hawaii,202505,395749,372067,23682,153317,242432,P,2025-05
HI,Hawaii,202505,395873,372190,23683,153441,242432,U,2025-05
HI,Hawaii,202506,393950,370377,23573,152469,241481,P,2025-06
HI,Hawaii,202506,394045,370469,23576,152564,241481,U,2025-06
HI,Hawaii,202507,392838,369289,23549,152235,240603,P,2025-07
HI,Hawaii,202507,392938,369385,23553,152335,240603,U,2025-07
HI,Hawaii,202508,391572,367869,23703,152285,239287,P,2025-08
HI,Hawaii,202508,391691,367988,23703,152403,239288,U,2025-08
HI,Hawaii,202509,390181,366223,23958,152458,237723,P,2025-09
HI,Hawaii,202509,390360,366401,23959,152558,237802,U,2025-09
HI,Hawaii,202510,389941,365871,24070,152533,237408,P,2025-10
HI,Hawaii,202510,390044,365969,24075,152634,237410,U,2025-10
HI,Hawaii,202511,388979,364636,24343,152629,236350,P,2025-11
HI,Hawaii,202511,389135,364787,24348,152784,236351,U,2025-11
HI,Hawaii,202512,388083,363321,24762,152977,235106,P,2025-12
HI,Hawaii,202512,388228,363466,24762,153121,235107,U,2025-12
HI,Hawaii,202601,387938,362596,25342,153346,234592,P,2026-01
IA,Iowa,202501,673986,588601,85385,336152,337834,P,2025-01
IA,Iowa,202501,682489,596380,86109,339723,342766,U,2025-01
IA,Iowa,202502,674339,588650,85689,336065,338274,P,2025-02
IA,Iowa,202502,682234,595865,86369,339545,342689,U,2025-02
IA,Iowa,202503,669848,584368,85480,333520,336328,P,2025-03
IA,Iowa,202503,677395,591157,86238,337270,340125,U,2025-03
IA,Iowa,202504,669456,583896,85560,334160,335296,P,2025-04
IA,Iowa,202504,675144,589030,86114,336939,338205,U,2025-04
IA,Iowa,202505,667082,581124,85958,333083,333999,P,2025-05
IA,Iowa,202505,673680,587212,86468,336454,337226,U,2025-05
IA,Iowa,202506,667468,581583,85885,333422,334046,P,2025-06
IA,Iowa,202506,671287,585095,86192,335410,335877,U,2025-06
IA,Iowa,202507,664883,579426,85457,332020,332863,P,2025-07
IA,Iowa,202507,671481,585421,86060,335416,336065,U,2025-07
IA,Iowa,202508,666186,580369,85817,332473,333713,P,2025-08
IA,Iowa,202508,671247,584895,86352,335177,336070,U,2025-08
IA,Iowa,202509,666889,581470,85419,332342,334547,P,2025-09
IA,Iowa,202509,672580,586619,85961,335297,337283,U,2025-09
IA,Iowa,202510,666800,581518,85282,331835,334965,P,2025-10
IA,Iowa,202510,671561,585871,85690,334222,337339,U,2025-10
IA,Iowa,202511,664809,579963,84846,330017,334792,P,2025-11
IA,Iowa,202511,670680,585282,85398,332701,337979,U,2025-11
IA,Iowa,202512,665421,580449,84972,329791,335630,P,2025-12
IA,Iowa,202512,671552,586048,85504,332433,339119,U,2025-12
IA,Iowa,202601,664765,580005,84760,329393,335372,P,2026-01
ID,Idaho,202501,318132,297818,20314,157275,160857,P,2025-01
ID,Idaho,202501,321003,300476,20527,158620,162383,U,2025-01
ID,Idaho,202502,317072,296854,20218,156789,160283,P,2025-02
ID,Idaho,202502,320307,299878,20429,158340,161967,U,2025-02
ID,Idaho,202503,317948,297750,20198,156771,161177,P,2025-03
ID,Idaho,202503,321720,301261,20459,158566,163154,U,2025-03
ID,Idaho,202504,318432,298536,19896,156533,161899,P,2025-04
ID,Idaho,202504,320470,300434,20036,157521,162949,U,2025-04
ID,Idaho,202505,316465,296736,19729,155634,160831,P,2025-05
ID,Idaho,202505,318814,298932,19882,156736,162078,U,2025-05
ID,Idaho,202506,314833,295312,19521,154404,160429,P,2025-06
ID,Idaho,202506,315910,296251,19659,155389,160521,U,2025-06
ID,Idaho,202507,314187,294759,19428,153906,160281,P,2025-07
ID,Idaho,202507,316230,296661,19569,154901,161329,U,2025-07
ID,Idaho,202508,312098,292867,19231,152782,159316,P,2025-08
ID,Idaho,202508,315337,295855,19482,154400,160937,U,2025-08
ID,Idaho,202509,312698,293370,19328,152888,159810,P,2025-09
ID,Idaho,202509,315251,295732,19519,154108,161143,U,2025-09
ID,Idaho,202510,312807,293367,19440,152556,160251,P,2025-10
ID,Idaho,202510,314788,295134,19654,153471,161317,U,2025-10
ID,Idaho,202511,310481,291035,19446,151529,158952,P,2025-11
ID,Idaho,202511,313479,293777,19702,152921,160558,U,2025-11
ID,Idaho,202512,311257,291590,19667,151739,159518,P,2025-12
ID,Idaho,202512,313952,294104,19848,153043,160909,U,2025-12
ID,Idaho,202601,310464,290877,19587,151205,159259,P,2026-01
IL,Illinois,202501,3191264,2899135,292129,1425173,1766091,P,2025-01
IL,Illinois,202501,3211905,2918728,293177,1433357,1778548,U,2025-01
IL,Illinois,202502,3168689,2874704,293985,1416856,1751833,P,2025-02
IL,Illinois,202502,3204871,2908569,296302,1427469,1777402,U,2025-02
IL,Illinois,202503,3166322,2868206,298116,1411258,1755064,P,2025-03
IL,Illinois,202503,3194479,2894353,300126,1421827,1772652,U,2025-03
IL,Illinois,202504,3146295,2849911,296384,1404730,1741565,P,2025-04
IL,Illinois,202504,3166113,2868482,297631,1411821,1754292,U,2025-04
IL,Illinois,202505,3125044,2826100,298944,1395767,1729277,P,2025-05
IL,Illinois,202505,3143847,2843834,300013,1402845,1741002,U,2025-05
IL,Illinois,202506,3104051,2802704,301347,1387859,1716192,P,2025-06
IL,Illinois,202506,3122783,2820385,302398,1395133,1727650,U,2025-06
IL,Illinois,202507,3092838,2789633,303205,1384763,1708075,P,2025-07
IL,Illinois,202507,3113340,2809169,304171,1392924,1720416,U,2025-07
IL,Illinois,202508,3083535,2778307,305228,1381429,1702106,P,2025-08
IL,Illinois,202508,3103271,2797602,305669,1389220,1714051,U,2025-08
IL,Illinois,202509,3067497,2760467,307030,1376200,1691297,P,2025-09
IL,Illinois,202509,3081581,2773141,308440,1381460,1700121,U,2025-09
IL,Illinois,202510,3041306,2731730,309576,1365759,1675547,P,2025-10
IL,Illinois,202510,3055971,2743539,312432,1371355,1684616,U,2025-10
IL,Illinois,202511,3018004,2702533,315471,1357885,1660119,P,2025-11
IL,Illinois,202511,3038514,2719408,319106,1365826,1672688,U,2025-11
IL,Illinois,202512,3000140,2681804,318336,1351821,1648319,P,2025-12
IL,Illinois,202512,3023402,2700951,322451,1360114,1663288,U,2025-12
IL,Illinois,202601,2992984,2672120,320864,1347296,1645688,P,2026-01
IN,Indiana,202501,1760469,1619189,141280,815053,945416,P,2025-01
IN,Indiana,202501,1779742,1637502,142240,824371,955371,U,2025-01
IN,Indiana,202502,1767758,1625938,141820,819476,948282,P,2025-02
IN,Indiana,202502,1777256,1634823,142433,824101,953155,U,2025-02
IN,Indiana,202503,1763215,1623383,139832,817886,945329,P,2025-03
IN,Indiana,202503,1781352,1633331,148021,827248,954104,U,2025-03
IN,Indiana,202504,1752357,1605916,146441,817040,935317,P,2025-04
IN,Indiana,202504,1754412,1608177,146235,818046,936366,U,2025-04
IN,Indiana,202505,1744789,1600505,144284,829031,915758,P,2025-05
IN,Indiana,202505,1725367,1580144,145223,813022,912345,U,2025-05
IN,Indiana,202506,1666284,1530831,135453,778785,887499,P,2025-06
IN,Indiana,202506,1683055,1546043,137012,787771,895284,U,2025-06
IN,Indiana,202507,1667236,1536839,130397,783954,883282,P,2025-07
IN,Indiana,202507,1656610,1523457,133153,776169,880441,U,2025-07
IN,Indiana,202508,1640743,1513954,126789,770271,870472,P,2025-08
IN,Indiana,202508,1622884,1494002,128882,758517,864367,U,2025-08
IN,Indiana,202509,1586568,1461584,124984,738802,847766,P,2025-09
IN,Indiana,202509,1598756,1472252,126504,745746,853010,U,2025-09
IN,Indiana,202510,1598204,1474398,123806,749606,848598,P,2025-10
IN,Indiana,202510,1587156,1460721,126435,740602,846554,U,2025-10
IN,Indiana,202511,1541074,1416908,124166,718187,822887,P,2025-11
IN,Indiana,202511,1557726,1431868,125858,726884,830842,U,2025-11
IN,Indiana,202512,1511819,1389092,122727,703263,808556,P,2025-12
IN,Indiana,202512,1538217,1412073,126144,717082,821135,U,2025-12
IN,Indiana,202601,1457607,1335294,122313,694304,763303,P,2026-01
KS,Kansas,202501,412756,335648,77108,283939,128817,P,2025-01
KS,Kansas,202501,421410,344329,77081,288099,133311,U,2025-01
